word,s_count,s_ratio,g_count,g_ratio,s_to_g_ratio,weight
BTC,13090,0.2934,147203,0.006,49.31,645467.9
ETH,5544,0.1243,47042,0.0019,65.35,362300.39999999997
IOTA,4631,0.1038,44133,0.0018,58.18,269431.58
BCH,3858,0.0865,76205,0.0031,28.07,108294.06
NEO,3385,0.0759,14241,0.0006,131.8,446143.00000000006
ICO,2717,0.0609,17857,0.0007,84.37,229233.29
VTC,2502,0.0561,8223,0.0003,168.71,422112.42000000004
LTC,2416,0.0542,15026,0.0006,89.15,215386.40000000002
USD,2244,0.0503,66324,0.0027,18.76,42097.44
XRP,1304,0.0292,9951,0.0004,72.66,94748.64
XMR,1269,0.0284,5564,0.0002,126.46,160477.74
ARK,1255,0.0281,5414,0.0002,128.53,161305.15
WTC,1253,0.0281,5533,0.0002,125.57,157339.21
FUD,1220,0.0273,9424,0.0004,71.78,87571.6
ASIC,1165,0.0261,5669,0.0002,113.95,132751.75
OMG,1059,0.0237,41052,0.0017,14.3,15143.7
GRS,940,0.0211,3052,0.0001,170.78,160533.2
MOD,851,0.0191,4094,0.0002,115.26,98086.260000000009
USDT,845,0.0189,5421,0.0002,86.43,73033.35
POWR,824,0.0185,2016,0.0001,226.63,186743.12
REQ,786,0.0176,3896,0.0002,111.86,87921.96
GDAX,761,0.0171,11326,0.0005,37.26,28354.859999999997
FAQ,756,0.0169,195047,0.0079,2.15,1625.3999999999999
FOMO,593,0.0133,4601,0.0002,71.46,42375.78
BTG,579,0.013,5163,0.0002,62.18,36002.22
ATH,554,0.0124,7065,0.0003,43.48,24087.92
HODL,497,0.0111,7439,0.0003,37.04,18408.88
LINK,481,0.0108,18588,0.0008,14.35,6902.3499999999995
BAT,477,0.0107,3143,0.0001,84.15,40139.55
NAV,470,0.0105,2059,0.0001,126.57,59487.899999999994
BCC,411,0.0092,4205,0.0002,54.19,22272.09
GAS,404,0.0091,3148,0.0001,71.16,28748.64
IMO,393,0.0088,131478,0.0053,1.66,652.38
-----,387,0.0087,113872,0.0046,1.88,727.56
IRS,381,0.0085,13802,0.0006,15.31,5833.1100000000006
DASH,378,0.0085,3467,0.0001,60.45,22850.100000000002
LOL,360,0.0081,119522,0.0048,1.67,601.19999999999993
UTC,360,0.0081,57236,0.0023,3.49,1256.4
CEO,327,0.0073,33517,0.0014,5.41,1769.07
XLM,323,0.0072,1573,0.0001,113.86,36776.78
GPU,316,0.0071,68372,0.0028,2.56,808.96
NOT,313,0.007,201516,0.0081,0.86,269.18
PIVX,294,0.0066,1056,0.0,154.37,45384.78
RFID,289,0.0065,1752,0.0001,91.46,26431.94
THIS,275,0.0062,143339,0.0058,1.06,291.5
THE,272,0.0061,301458,0.0122,0.5,136.0
ETC,253,0.0057,4217,0.0002,33.27,8417.3100000000013
XRB,242,0.0054,307,0.0,437.08,105773.36
EDIT,242,0.0054,131581,0.0053,1.02,246.84
AMA,230,0.0052,52439,0.0021,2.43,558.90000000000009
POS,226,0.0051,10769,0.0004,11.64,2630.6400000000003
ICO',224,0.005,1281,0.0001,96.96,21719.039999999997
QTUM,223,0.005,694,0.0,178.17,39731.909999999996
ERC,207,0.0046,2176,0.0001,52.75,10919.25
LISK,202,0.0045,911,0.0,122.95,24835.9
VEN,193,0.0043,519,0.0,206.19,39794.67
CPU,191,0.0043,90586,0.0037,1.17,223.47
DAO,190,0.0043,2428,0.0001,43.39,8244.1
CMC,190,0.0043,4463,0.0002,23.61,4485.9
ROI,185,0.0041,7707,0.0003,13.31,2462.35
API,185,0.0041,22174,0.0009,4.63,856.55
EOS,185,0.0041,3977,0.0002,25.79,4771.15
DAG,184,0.0041,700,0.0,145.75,26818.0
SEC,175,0.0039,19845,0.0008,4.89,855.75
ISP,174,0.0039,116366,0.0047,0.83,144.42
IBM,173,0.0039,5376,0.0002,17.84,3086.32
CLICK,172,0.0039,20466,0.0008,4.66,801.52
INSID,171,0.0038,9773,0.0004,9.7,1658.6999999999998
BRACK,170,0.0038,8899,0.0004,10.59,1800.3
SQUAR,170,0.0038,8205,0.0003,11.49,1953.3
AND,169,0.0038,178325,0.0072,0.53,89.570000000000007
SALT,166,0.0037,2922,0.0001,31.5,5229.0
BNB,165,0.0037,1829,0.0001,50.02,8253.3000000000011
NEM,155,0.0035,800,0.0,107.43,16651.65
---,153,0.0034,447425,0.0181,0.19,29.07
BTC',153,0.0034,1746,0.0001,48.59,7434.27
ALL,150,0.0034,95166,0.0038,0.87,130.5
ODN,150,0.0034,288,0.0,288.79,43318.5
USA,150,0.0034,113276,0.0046,0.73,109.5
YOU,149,0.0033,190092,0.0077,0.43,64.07
FIAT,149,0.0033,1202,0.0,68.73,10240.77
LSK,145,0.0033,946,0.0,84.99,12323.55
DYOR,143,0.0032,309,0.0,256.6,36693.8
POW,142,0.0032,4178,0.0002,18.85,2676.7000000000003
CFD,141,0.0032,983,0.0,79.53,11213.73
ATM,141,0.0032,14356,0.0006,5.45,768.45
COSS,135,0.003,437,0.0,171.29,23124.149999999998
EVX,132,0.003,277,0.0,264.23,34878.36
ADA,131,0.0029,3438,0.0001,21.13,2768.0299999999997
SUB,127,0.0028,2769,0.0001,25.43,3229.61
XVG,123,0.0028,420,0.0,162.38,19972.739999999998
VRC,123,0.0028,581,0.0,117.38,14437.74
CME,121,0.0027,3529,0.0001,19.01,2300.21
SELL,119,0.0027,2677,0.0001,24.65,2933.35
EUR,119,0.0027,5061,0.0002,13.04,1551.76
FUCK,116,0.0026,82028,0.0033,0.78,90.48
DOGE,114,0.0026,861,0.0,73.41,8368.74
BUY,113,0.0025,8908,0.0004,7.03,794.39
MEW,113,0.0025,1718,0.0001,36.47,4121.11
GVT,111,0.0025,344,0.0,178.92,19860.12
GNT,110,0.0025,736,0.0,82.87,9115.7
VPN,109,0.0024,29693,0.0012,2.04,222.36
QSP,105,0.0024,343,0.0,169.74,17822.7
ETP,103,0.0023,743,0.0,76.87,7917.6100000000006
IOTA',103,0.0023,322,0.0,177.36,18268.08
ELI,102,0.0023,17276,0.0007,3.27,333.54
BITCO,102,0.0023,1614,0.0001,35.04,3574.08
KYC,101,0.0023,1604,0.0001,34.91,3525.91
HUGE,101,0.0023,19931,0.0008,2.81,283.81
MCO,100,0.0022,957,0.0,57.94,5794.0
ALT,100,0.0022,2410,0.0001,23.01,2301.0
FYI,100,0.0022,31966,0.0013,1.73,173.0
FCT,99,0.0022,393,0.0,139.68,13828.320000000002
DNT,98,0.0022,634,0.0,85.71,8399.58
QASH,91,0.002,214,0.0,235.78,21455.98
PBC,90,0.002,703,0.0,70.99,6389.0999999999995
ASIC-,89,0.002,270,0.0,182.77,16266.53
LOT,87,0.002,40322,0.0016,1.2,104.39999999999999
LRC,86,0.0019,425,0.0,112.2,9649.2
ONLY,84,0.0019,35391,0.0014,1.32,110.88000000000001
EVERY,84,0.0019,55284,0.0022,0.84,70.56
NXT,84,0.0019,12239,0.0005,3.81,320.04
WTF,83,0.0019,48899,0.002,0.94,78.02
VISA,82,0.0018,2000,0.0001,22.73,1863.8600000000001
FTC,82,0.0018,6731,0.0003,6.75,553.5
ETF,80,0.0018,8073,0.0003,5.49,439.20000000000005
AEON,80,0.0018,377,0.0,117.66,9412.8
BTW,79,0.0018,28320,0.0011,1.55,122.45
AMD,78,0.0017,41224,0.0017,1.05,81.9
RDN,76,0.0017,701,0.0,60.11,4568.36
LMAO,74,0.0017,22740,0.0009,1.8,133.20000000000002
QRL,74,0.0017,355,0.0,115.58,8552.92
ENJ,73,0.0016,412,0.0,98.24,7171.5199999999995
DOVU,72,0.0016,143,0.0,279.18,20100.96
SDK,72,0.0016,2702,0.0001,14.78,1064.1599999999999
BUT,72,0.0016,56062,0.0023,0.71,51.12
MOON,71,0.0016,1540,0.0001,25.56,1814.76
ZEN,71,0.0016,628,0.0,62.69,4450.99
NEVER,71,0.0016,34566,0.0014,1.14,80.94
NOW,71,0.0016,34695,0.0014,1.13,80.22999999999999
URL,69,0.0015,36396,0.0015,1.05,72.45
PAY,69,0.0015,4371,0.0002,8.75,603.75
ANY,69,0.0015,31522,0.0013,1.21,83.49
