word,s_count,s_ratio,g_count,g_ratio,s_to_g_ratio,weight
DASH,302,0.1497,2453,1.0E-4,1452.57,438676.13999999996
PIVX,271,0.1343,655,0.0,4881.54,1322897.34
BTC,252,0.1249,25328,0.0011,117.39,29582.28
ETH,225,0.1115,20299,9.0E-4,130.78,29425.5
ICO,118,0.0585,1351,1.0E-4,1030.52,121601.36
XMR,104,0.0516,1477,1.0E-4,830.77,86400.08
USD,77,0.0382,37154,0.0016,24.45,1882.6499999999999
POS,49,0.0243,8769,4.0E-4,65.93,3230.57
DEA,44,0.0218,3969,2.0E-4,130.8,5755.200000000001
NXT,44,0.0218,9606,4.0E-4,54.04,2377.7599999999998
SECUR,42,0.0208,770,0.0,643.56,27029.519999999997
ETF,36,0.0178,13561,6.0E-4,31.32,1127.52
NEM,35,0.0174,268,0.0,1540.86,53930.1
ETC,34,0.0169,5431,2.0E-4,73.86,2511.24
DAO,34,0.0169,3016,1.0E-4,133.01,4522.34
FUD,32,0.0159,3212,1.0E-4,117.54,3761.28
LOL,29,0.0144,112918,0.0047,3.03,87.86999999999999
LTC,28,0.0139,1880,1.0E-4,175.72,4920.16
POW,28,0.0139,4271,2.0E-4,77.35,2165.7999999999997
FAQ,27,0.0134,140439,0.0059,2.27,61.29
ICN,24,0.0119,1063,0.0,266.38,6393.12
PM',24,0.0119,34004,0.0014,8.33,199.92000000000002
NOT,23,0.0114,186613,0.0078,1.45,33.35
GPU,23,0.0114,72030,0.003,3.77,86.71
SDC,23,0.0114,1502,1.0E-4,180.67,4155.41
XRP,23,0.0114,496,0.0,547.11,12583.53
USDT,22,0.0109,145,0.0,1790.13,39382.86
GAME,20,0.0099,15696,7.0E-4,15.03,300.59999999999997
GNT,20,0.0099,1424,1.0E-4,165.71,3314.2000000000003
IMO,20,0.0099,129550,0.0054,1.82,36.4
AND,16,0.0079,170758,0.0072,1.11,17.76
EDIT,15,0.0074,144602,0.0061,1.22,18.3
SEC,15,0.0074,9669,4.0E-4,18.3,274.5
KYC,14,0.0069,573,0.0,288.27,4035.7799999999997
----,14,0.0069,59737,0.0025,2.77,38.78
CPU,14,0.0069,115200,0.0048,1.43,20.02
API,14,0.0069,21494,9.0E-4,7.68,107.52
STEEM,13,0.0064,36,0.0,4260.59,55387.67
ZEC,13,0.0064,168,0.0,912.98,11868.74
ALL,13,0.0064,92105,0.0039,1.67,21.71
ZCL,12,0.0059,76,0.0,1862.93,22355.16
VERY,12,0.0059,35968,0.0015,3.94,47.28
GUI,12,0.0059,7285,3.0E-4,19.43,233.16
GBP,12,0.0059,2993,1.0E-4,47.3,567.5999999999999
BTU,12,0.0059,3274,1.0E-4,43.24,518.88
ROI,12,0.0059,5683,2.0E-4,24.91,298.92
DCR,11,0.0055,285,0.0,455.38,5009.18
ASIC,11,0.0055,2067,1.0E-4,62.79,690.6899999999999
AML,11,0.0055,521,0.0,249.11,2740.21
CIA,11,0.0055,75287,0.0032,1.72,18.919999999999998
REP,11,0.0055,2288,1.0E-4,56.72,623.92
LOT,11,0.0055,39868,0.0017,3.26,35.86
