word,s_count,s_ratio,g_count,g_ratio,s_to_g_ratio,weight
EEA,36,0.0028,3345,0.0001,20.14,725.04
HUGE,35,0.0027,18849,0.0008,3.47,121.45
KYC,35,0.0027,713,0.0,91.86,3215.1
ERC,34,0.0026,987,0.0,64.46,2191.64
XYZ,34,0.0026,4752,0.0002,13.39,455.26
GRC,34,0.0026,688,0.0,92.47,3143.98
FBI,34,0.0026,41292,0.0017,1.54,52.36
YOU,34,0.0026,187821,0.0077,0.34,11.56
XEM,34,0.0026,344,0.0,184.95,6288.2999999999993
ATM,33,0.0025,16108,0.0007,3.83,126.39
SDK,33,0.0025,2192,0.0001,28.17,929.61
BTC',32,0.0025,572,0.0,104.68,3349.76
ROI,31,0.0024,6584,0.0003,8.81,273.11
LBRY,30,0.0023,243,0.0,231.02,6930.6
BOINC,29,0.0022,357,0.0,152.01,4408.29
GAME,29,0.0022,15641,0.0006,3.47,100.63000000000001
-----,29,0.0022,184007,0.0076,0.29,8.41
FYI,29,0.0022,30429,0.0012,1.78,51.62
BUY,28,0.0022,7806,0.0003,6.71,187.88
LOT,28,0.0022,39754,0.0016,1.32,36.96
IRC,28,0.0022,7768,0.0003,6.74,188.72
IOT,28,0.0022,479,0.0,109.38,3062.64
OP',28,0.0022,44431,0.0018,1.18,33.04
IOU,28,0.0022,973,0.0,53.85,1507.8
AMA,27,0.0021,41932,0.0017,1.2,32.4
STRAT,26,0.002,666,0.0,73.05,1899.3
ANY,26,0.002,27203,0.0011,1.79,46.54
MEW,26,0.002,1070,0.0,45.47,1182.22
IPO,26,0.002,1832,0.0001,26.56,690.56
ANT,25,0.0019,1145,0.0,40.86,1021.5
NMR,25,0.0019,1134,0.0,41.25,1031.25
KMD,25,0.0019,103,0.0,454.18,11354.5
DCR,25,0.0019,458,0.0,102.14,2553.5
ACH,24,0.0018,1253,0.0001,35.84,860.16000000000008
GUI,24,0.0018,6676,0.0003,6.73,161.52
EVERY,24,0.0018,66524,0.0027,0.68,16.32
GDP,24,0.0018,17418,0.0007,2.58,61.92
BTW,24,0.0018,27632,0.0011,1.63,39.12
PAY,24,0.0018,3995,0.0002,11.24,269.76
POW,23,0.0018,4699,0.0002,9.16,210.68
IGNIS,23,0.0018,169,0.0,254.67,5857.41
IMHO,23,0.0018,15725,0.0006,2.74,63.02
AFAIK,22,0.0017,16011,0.0007,2.57,56.54
ELI,22,0.0017,21054,0.0009,1.96,43.12
AWS,22,0.0017,5194,0.0002,7.93,174.45999999999998
PTOY,21,0.0016,69,0.0,569.51,11959.71
XEL,21,0.0016,97,0.0,405.11,8507.31
ICONO,21,0.0016,229,0.0,171.6,3603.6
TTT,21,0.0016,1007,0.0,39.02,819.42000000000007
VERY,21,0.0016,35209,0.0014,1.12,23.520000000000003
WILL,21,0.0016,37271,0.0015,1.05,22.05
KORE,20,0.0015,53,0.0,706.13,14122.6
ANN,20,0.0015,398,0.0,94.03,1880.6
QRL,20,0.0015,162,0.0,231.02,4620.4000000000005
BCN,20,0.0015,374,0.0,100.07,2001.3999999999999
WAVES,20,0.0015,281,0.0,133.18,2663.6000000000004
XVG,20,0.0015,170,0.0,220.15,4403.0
BUT,20,0.0015,52425,0.0022,0.71,14.2
CAD,19,0.0015,12048,0.0005,2.95,56.050000000000004
BTC-E,19,0.0015,472,0.0,75.33,1431.27
DECEN,19,0.0015,545,0.0,65.24,1239.56
ETF,19,0.0015,6308,0.0003,5.64,107.16
WTF,18,0.0014,46474,0.0019,0.72,12.959999999999999
MIOTA,18,0.0014,88,0.0,382.75,6889.5
CNY,18,0.0014,709,0.0,47.51,855.18
CNN,18,0.0014,190411,0.0078,0.18,3.2399999999999998
KICKI,18,0.0014,295,0.0,114.18,2055.2400000000002
MTL,18,0.0014,1933,0.0001,17.42,313.56000000000006
LEO,18,0.0014,5046,0.0002,6.68,120.24
NET,18,0.0014,4287,0.0002,7.86,141.48000000000002
IOTA',18,0.0014,106,0.0,317.76,5719.68
BTS,18,0.0014,7545,0.0003,4.46,80.28
DAG,17,0.0013,852,0.0,37.34,634.78000000000009
----,17,0.0013,61337,0.0025,0.52,8.84
MAST,17,0.0013,244,0.0,130.37,2216.29
FUCK,17,0.0013,72445,0.003,0.44,7.48
ASAP,17,0.0013,22718,0.0009,1.4,23.799999999999997
-ICO,16,0.0012,112,0.0,267.32,4277.12
ABC,16,0.0012,12446,0.0005,2.41,38.56
AMD,16,0.0012,57380,0.0024,0.52,8.32
URL,16,0.0012,40920,0.0017,0.73,11.68
SHA,16,0.0012,1240,0.0001,24.14,386.24
SELL,16,0.0012,2583,0.0001,11.59,185.44
GAS,16,0.0012,2121,0.0001,14.12,225.92
VISA,16,0.0012,1399,0.0001,21.4,342.4
DICE,16,0.0012,3973,0.0002,7.54,120.64
MAID,16,0.0012,132,0.0,226.82,3629.12
OKC,16,0.0012,18179,0.0007,1.65,26.4
LISK,15,0.0012,220,0.0,127.58,1913.7
SCAM,15,0.0012,121253,0.005,0.23,3.45
IBM,15,0.0012,4970,0.0002,5.65,84.75
LKK,15,0.0012,140,0.0,200.49,3007.3500000000004
UBQ,15,0.0012,78,0.0,359.85,5397.75
DEL,15,0.0012,666,0.0,42.14,632.1
ICNX,15,0.0012,242,0.0,115.99,1739.85
TLDR,15,0.0012,19833,0.0008,1.42,21.299999999999997
MUCH,14,0.0011,23106,0.0009,1.13,15.819999999999999
THAT,14,0.0011,88059,0.0036,0.3,4.2
REP,14,0.0011,6767,0.0003,3.87,54.18
ETH',14,0.0011,363,0.0,72.17,1010.38
BLOCK,14,0.0011,1880,0.0001,13.93,195.01999999999998
REALL,14,0.0011,40806,0.0017,0.64,8.96
NXS,13,0.001,250,0.0,97.3,1264.8999999999999
FUCKI,13,0.001,53876,0.0022,0.45,5.8500000000000005
QTUM,13,0.001,218,0.0,111.59,1450.67
ONE,13,0.001,43434,0.0018,0.56,7.2800000000000011
DNM,13,0.001,3116,0.0001,7.81,101.53
IIRC,13,0.001,48930,0.002,0.5,6.5
MGO,13,0.001,280,0.0,86.88,1129.44
TBH,13,0.001,21897,0.0009,1.11,14.430000000000001
GBP,13,0.001,2714,0.0001,8.96,116.48000000000002
HAVE,13,0.001,49510,0.002,0.49,6.37
EXACT,13,0.001,14212,0.0006,1.71,22.23
DBIX,13,0.001,65,0.0,374.25,4865.25
STOP,12,0.0009,23546,0.001,0.95,11.399999999999999
RDD,12,0.0009,613,0.0,36.63,439.56000000000006
NHS,12,0.0009,13607,0.0006,1.65,19.799999999999997
EVM,12,0.0009,526,0.0,42.69,512.28
UBIQ,12,0.0009,37,0.0,606.89,7282.68
XCP,12,0.0009,74,0.0,303.44,3641.2799999999997
ANTS,12,0.0009,293,0.0,76.64,919.68000000000006
ITT,12,0.0009,14563,0.0006,1.54,18.48
MVP,11,0.0008,32524,0.0013,0.63,6.93
ERC-,11,0.0008,137,0.0,150.25,1652.75
CAN,11,0.0008,32529,0.0013,0.63,6.93
AUD,11,0.0008,3347,0.0001,6.15,67.65
CFI,11,0.0008,1202,0.0,17.12,188.32000000000002
FUN,11,0.0008,5702,0.0002,3.61,39.71
UTXO,11,0.0008,999,0.0,20.6,226.60000000000002
GNO,11,0.0008,151,0.0,136.32,1499.52
BITCO,11,0.0008,461,0.0,44.65,491.15
BIG,11,0.0008,21009,0.0009,0.98,10.78
POLO,11,0.0008,121,0.0,170.11,1871.21
UAHF,11,0.0008,1095,0.0,18.8,206.8
NOW,11,0.0008,34886,0.0014,0.59,6.4899999999999993
JUST,11,0.0008,42167,0.0017,0.49,5.39
SMS,11,0.0008,5308,0.0002,3.88,42.68
ALWAY,11,0.0008,20054,0.0008,1.03,11.33
OTC,11,0.0008,3160,0.0001,6.51,71.61
SEPA,11,0.0008,350,0.0,58.81,646.91000000000008
LSK,11,0.0008,163,0.0,126.28,1389.08
WAY,11,0.0008,25987,0.0011,0.79,8.6900000000000013
ASIC-,11,0.0008,102,0.0,201.8,2219.8
