word,s_count,s_ratio,g_count,g_ratio,s_to_g_ratio,weight
BTC,2732,0.2098,49166,0.002,103.98,284073.36
ETH,1608,0.1235,37262,0.0015,80.75,129846.0
ICO,1293,0.0993,15354,0.0006,157.58,203750.94
LTC,834,0.064,10086,0.0004,154.73,129044.81999999999
IOTA,633,0.0486,3039,0.0001,389.76,246718.08
USD,607,0.0466,43631,0.0018,26.03,15800.210000000001
ANS,550,0.0422,5337,0.0002,192.84,106062.0
BCC,536,0.0412,15536,0.0006,64.56,34604.16
NEO,307,0.0236,5021,0.0002,114.41,35123.869999999995
EOS,295,0.0227,4763,0.0002,115.9,34190.5
FAQ,258,0.0198,190574,0.0078,2.53,652.7399999999999
XRP,254,0.0195,4760,0.0002,99.85,25361.899999999998
XMR,228,0.0175,1511,0.0001,282.36,64378.08
ETC,199,0.0153,5144,0.0002,72.39,14405.61
FUD,186,0.0143,6184,0.0003,56.28,10468.08
HODL,183,0.0141,2441,0.0001,140.29,25673.07
ICO',173,0.0133,1481,0.0001,218.58,37814.340000000004
UTC,159,0.0122,30833,0.0013,9.65,1534.3500000000001
PIVX,145,0.0111,437,0.0,620.89,90029.05
FCT,141,0.0108,642,0.0,410.97,57946.770000000004
DASH,138,0.0106,1155,0.0,223.58,30854.04
SEC,127,0.0098,7080,0.0003,33.57,4263.39
NEM,123,0.0094,882,0.0,260.95,32096.85
USDT,123,0.0094,615,0.0,374.25,46032.75
GPU,122,0.0094,76847,0.0032,2.97,362.34000000000003
VTC,120,0.0092,873,0.0,257.21,30865.199999999997
ASIC,119,0.0091,2949,0.0001,75.51,8985.69
IMO,112,0.0086,128188,0.0053,1.63,182.56
GDAX,111,0.0085,3468,0.0001,59.89,6647.79
BAT,108,0.0083,2078,0.0001,97.25,10503.0
ANC,107,0.0082,3755,0.0002,53.32,5705.24
DAO,105,0.0081,2999,0.0001,65.52,6879.5999999999995
NXT,101,0.0078,9941,0.0004,19.01,1920.0100000000002
NOT,101,0.0078,200162,0.0082,0.94,94.94
BIP,98,0.0075,10330,0.0004,17.75,1739.5
CEO,98,0.0075,69151,0.0028,2.65,259.7
IRS,96,0.0074,11668,0.0005,15.4,1478.4
THIS,95,0.0073,138482,0.0057,1.28,121.60000000000001
LOL,88,0.0068,113988,0.0047,1.44,126.72
API,87,0.0067,20317,0.0008,8.01,696.87
AUT,82,0.0063,98216,0.004,1.56,127.92
---,80,0.0061,468106,0.0192,0.32,25.6
FOMO,79,0.0061,2502,0.0001,59.08,4667.32
PM',74,0.0057,38043,0.0016,3.64,269.36
USA,70,0.0054,123840,0.0051,1.06,74.2
ICN,69,0.0053,1297,0.0001,99.55,6868.95
LINK,67,0.0051,20863,0.0009,6.01,402.66999999999996
CLICK,67,0.0051,19775,0.0008,6.34,424.78
BRACK,66,0.0051,7423,0.0003,16.64,1098.24
INSID,66,0.0051,8598,0.0004,14.36,947.76
SQUAR,66,0.0051,6753,0.0003,18.29,1207.1399999999999
EDIT,64,0.0049,138087,0.0057,0.87,55.68
POS,63,0.0048,9556,0.0004,12.34,777.42
BCH,63,0.0048,2523,0.0001,46.73,2943.99
ATH,62,0.0048,2283,0.0001,50.82,3150.84
GNT,60,0.0046,798,0.0,140.69,8441.4
ARK,58,0.0045,4778,0.0002,22.71,1317.18
THE,55,0.0042,300419,0.0123,0.34,18.700000000000003
ARDR,53,0.0041,200,0.0,495.88,26281.64
AND,53,0.0041,171959,0.0071,0.58,30.74
VPN,49,0.0038,28408,0.0012,3.23,158.27
ONLY,47,0.0036,33583,0.0014,2.62,123.14
OMG,47,0.0036,35217,0.0014,2.5,117.5
UASF,47,0.0036,4334,0.0002,20.29,953.63
CPU,46,0.0035,95860,0.0039,0.9,41.4
STEEM,44,0.0034,123,0.0,669.38,29452.72
ZEC,44,0.0034,577,0.0,142.69,6278.36
USB,44,0.0034,58557,0.0024,1.41,62.04
EUR,43,0.0033,4264,0.0002,18.87,811.41000000000008
CHC,41,0.0031,1075,0.0,71.37,2926.17
FIAT,41,0.0031,663,0.0,115.72,4744.5199999999995
FDA,40,0.0031,7328,0.0003,10.21,408.40000000000003
DGB,39,0.003,898,0.0,81.27,3169.5299999999997
DOGE,38,0.0029,757,0.0,93.93,3569.34
SIA,37,0.0028,1070,0.0,64.71,2394.27
OTHER,37,0.0028,12250,0.0005,5.65,209.05
BTC-,36,0.0028,1334,0.0001,50.5,1818.0
ALL,36,0.0028,93562,0.0038,0.72,25.919999999999998
