word,s_count,s_ratio,g_count,g_ratio,s_to_g_ratio,weight
BTC,1091,0.168,38445,0.0016,103.08,112460.28
ETH,1089,0.1677,43256,0.0018,91.44,99578.16
XRP,824,0.1269,11631,0.0005,257.33,212039.91999999998
LTC,383,0.059,8053,0.0003,172.75,66163.25
ICO,347,0.0534,7520,0.0003,167.6,58157.2
USD,302,0.0465,41749,0.0018,26.27,7933.54
NEM,257,0.0396,1588,0.0001,587.84,151074.88
DASH,180,0.0277,1037,0.0,630.47,113484.6
PIVX,170,0.0262,556,0.0,1110.57,188796.9
XMR,168,0.0259,2016,0.0001,302.69,50851.92
ETC,157,0.0242,7067,0.0003,80.69,12668.33
BOINC,152,0.0234,603,0.0,915.59,139169.68
GNT,95,0.0146,3700,0.0002,93.26,8859.7
FAQ,94,0.0145,143826,0.0061,2.37,222.78
IMO,83,0.0128,124594,0.0053,2.42,200.85999999999999
DAO,66,0.0102,2984,0.0001,80.34,5302.4400000000005
GRC,66,0.0102,468,0.0,512.24,33807.840000000004
PM',60,0.0092,34378,0.0015,6.34,380.4
POS,58,0.0089,9537,0.0004,22.09,1281.22
ATH,58,0.0089,2208,0.0001,95.41,5533.78
XEM,56,0.0086,571,0.0,356.23,19948.88
FUD,52,0.008,2931,0.0001,64.44,3350.88
SIA,51,0.0079,769,0.0,240.89,12285.39
LOL,50,0.0077,113913,0.0048,1.59,79.5
GPU,45,0.0069,69955,0.003,2.34,105.3
IRS,45,0.0069,12468,0.0005,13.11,589.94999999999993
EDIT,44,0.0068,139526,0.0059,1.15,50.599999999999994
GDAX,44,0.0068,3839,0.0002,41.63,1831.72
CEO,44,0.0068,55209,0.0023,2.89,127.16000000000001
ICN,39,0.006,1420,0.0001,99.76,3890.6400000000003
AND,38,0.0059,168786,0.0072,0.82,31.159999999999997
DGB,37,0.0057,688,0.0,195.34,7227.58
HODL,36,0.0055,2244,0.0001,58.27,2097.7200000000003
NXT,36,0.0055,10719,0.0005,12.2,439.2
ZEC,36,0.0055,317,0.0,412.49,14849.64
BCN,35,0.0054,446,0.0,285.04,9976.4000000000015
LKK,35,0.0054,252,0.0,504.48,17656.8
CPU,33,0.0051,94227,0.004,1.27,41.910000000000004
ATM,33,0.0051,13826,0.0006,8.67,286.11
---,31,0.0048,392151,0.0166,0.29,8.99
NOT,31,0.0048,189606,0.008,0.59,18.29
ROI,30,0.0046,6314,0.0003,17.26,517.80000000000007
ASIC,29,0.0045,2127,0.0001,49.52,1436.0800000000002
SONM,28,0.0043,82,0.0,1240.27,34727.56
WAVES,28,0.0043,243,0.0,418.53,11718.84
GUI,28,0.0043,6960,0.0003,14.61,409.08
ETF,28,0.0043,7244,0.0003,14.04,393.12
EEA,27,0.0042,3417,0.0001,28.7,774.9
THE,27,0.0042,301215,0.0128,0.33,8.91
ICO',26,0.004,500,0.0,188.88,4910.88
SEPA,26,0.004,538,0.0,175.54,4564.04
USA,25,0.0038,106646,0.0045,0.85,21.25
