word,s_count,s_ratio,g_count,g_ratio,s_to_g_ratio,weight
PIVX,183,0.0993,665,0.0,3370.25,616755.75
BTC,180,0.0977,15301,7.0E-4,144.07,25932.6
ETH,161,0.0874,14791,7.0E-4,133.31,21462.91
XRP,112,0.0608,1865,1.0E-4,735.48,82373.76000000001
ICO,108,0.0586,3315,1.0E-4,399.0,43092.0
NEM,95,0.0516,485,0.0,2398.91,227896.44999999998
USD,88,0.0478,35445,0.0016,30.41,2676.08
FAQ,86,0.0467,131128,0.0058,8.03,690.5799999999999
DASH,75,0.0407,883,0.0,1040.24,78018.0
PM',73,0.0396,33708,0.0015,26.52,1935.96
NXT,53,0.0288,14135,6.0E-4,45.92,2433.76
LTC,41,0.0223,5123,2.0E-4,98.01,4018.4100000000003
THE,39,0.0212,315223,0.014,1.52,59.28
ETC,37,0.0201,4416,2.0E-4,102.61,3796.57
DAO,36,0.0195,2550,1.0E-4,172.9,6224.400000000001
EON,34,0.0185,210,0.0,1982.86,67417.23999999999
POS,32,0.0174,8378,4.0E-4,46.78,1496.96
XMR,32,0.0174,992,0.0,395.07,12642.24
BOINC,31,0.0168,246,0.0,1543.33,47843.229999999996
AND,30,0.0163,173126,0.0077,2.12,63.6
POW,29,0.0157,3841,2.0E-4,92.47,2681.63
BTS,28,0.0152,4208,2.0E-4,81.49,2281.72
USDT,28,0.0152,1268,1.0E-4,270.44,7572.32
CEO,26,0.0141,35064,0.0016,9.08,236.08
ARK,24,0.013,4218,2.0E-4,69.68,1672.3200000000002
ANY,22,0.0119,32053,0.0014,8.41,185.02
NOT,22,0.0119,179296,0.0079,1.5,33.0
ROI,21,0.0114,5363,2.0E-4,47.96,1007.16
GPU,20,0.0109,65334,0.0029,3.75,75.0
SEC,19,0.0103,5456,2.0E-4,42.65,810.35
CPU,18,0.0098,94492,0.0042,2.33,41.94
ETT,18,0.0098,123,0.0,1792.26,32260.68
ZEC,17,0.0092,187,0.0,1113.37,18927.289999999997
IOTA,17,0.0092,202,0.0,1030.69,17521.73
WEBSI,17,0.0092,1590,1.0E-4,130.94,2225.98
ASIC,17,0.0092,2571,1.0E-4,80.98,1376.66
GNT,16,0.0087,1636,1.0E-4,119.78,1916.48
FUD,16,0.0087,2505,1.0E-4,78.22,1251.52
YOU,15,0.0081,191444,0.0085,0.96,14.399999999999999
LOL,15,0.0081,111266,0.0049,1.65,24.75
ETF,15,0.0081,6971,3.0E-4,26.35,395.25
CANN,14,0.0076,27,0.0,6350.34,88904.76000000001
POT,14,0.0076,1123,0.0,152.68,2137.52
ATM,14,0.0076,13304,6.0E-4,12.89,180.46
THAT,13,0.0071,89810,0.004,1.77,23.01
GRC,13,0.0071,307,0.0,518.61,6741.93
API,12,0.0065,19787,9.0E-4,7.43,89.16
IMO,12,0.0065,121516,0.0054,1.21,14.52
EDIT,11,0.006,138079,0.0061,0.98,10.78
TOKEN,11,0.006,158,0.0,852.64,9379.039999999999
OKC,11,0.006,17168,8.0E-4,7.85,86.35
