word,s_count,s_ratio,g_count,g_ratio,s_to_g_ratio,weight
BTC,4260,0.1633,54462,0.0022,72.94,310724.39999999997
ICO,2447,0.0938,24497,0.001,93.15,227938.05000000002
IOTA,2017,0.0773,14894,0.0006,126.29,254726.93000000002
ETH,1950,0.0748,29282,0.0012,62.1,121095.0
NEO,1821,0.0698,19753,0.0008,85.97,156551.37
LTC,1394,0.0534,11004,0.0005,118.14,164687.16
ARK,1212,0.0465,7293,0.0003,154.98,187835.75999999998
OMG,1172,0.0449,46510,0.0019,23.5,27542.0
FUD,1004,0.0385,10754,0.0004,87.06,87408.24
USD,986,0.0378,53133,0.0022,17.31,17067.66
XMR,764,0.0293,3515,0.0001,202.69,154855.16
WTC,740,0.0284,10376,0.0004,66.51,49217.4
XRP,694,0.0266,5591,0.0002,115.75,80330.5
FUCK,636,0.0244,79257,0.0033,7.48,4757.2800000000007
FAQ,552,0.0212,191932,0.0079,2.68,1479.3600000000001
VTC,534,0.0205,2295,0.0001,216.98,115867.31999999999
HODL,473,0.0181,4822,0.0002,91.47,43265.31
BAT,416,0.0159,2876,0.0001,134.89,56114.239999999991
UTC,355,0.0136,51193,0.0021,6.47,2296.85
NAV,342,0.0131,2789,0.0001,114.35,39107.7
DASH,298,0.0114,1176,0.0,236.31,70420.38
ICO',274,0.0105,2428,0.0001,105.24,28835.76
DNT,271,0.0104,1860,0.0001,135.87,36820.770000000004
GDAX,268,0.0103,5004,0.0002,49.94,13383.92
CEO,256,0.0098,30875,0.0013,7.73,1978.88
THIS,251,0.0096,138050,0.0057,1.7,426.7
ASIC,244,0.0094,2470,0.0001,92.12,22477.280000000002
LINK,240,0.0092,18479,0.0008,12.11,2906.3999999999996
IMO,231,0.0089,126624,0.0052,1.7,392.7
ATH,224,0.0086,3134,0.0001,66.65,14929.600000000002
USDT,222,0.0085,2311,0.0001,89.58,19886.76
RFID,221,0.0085,1794,0.0001,114.88,25388.48
LOL,215,0.0082,113710,0.0047,1.76,378.4
FUCKS,207,0.0079,2845,0.0001,67.85,14044.949999999999
PIVX,192,0.0074,631,0.0,283.75,54480.0
SEC,189,0.0072,13522,0.0006,13.03,2462.67
NEM,188,0.0072,807,0.0,217.25,40843.0
GPU,186,0.0071,62131,0.0026,2.79,518.94
IRS,185,0.0071,12608,0.0005,13.68,2530.7999999999997
BCH,181,0.0069,10778,0.0004,15.66,2834.46
QTUM,175,0.0067,1463,0.0001,111.55,19521.25
NOT,174,0.0067,198875,0.0082,0.82,142.67999999999998
GAS,172,0.0066,4378,0.0002,36.64,6302.08
THE,169,0.0065,309583,0.0127,0.51,86.19
INSID,169,0.0065,8860,0.0004,17.79,3006.5099999999998
CLICK,169,0.0065,19540,0.0008,8.07,1363.8300000000002
SQUAR,166,0.0064,7259,0.0003,21.33,3540.7799999999997
BRACK,166,0.0064,7827,0.0003,19.78,3283.48
ROI,161,0.0062,6671,0.0003,22.51,3624.11
FOMO,158,0.0061,2743,0.0001,53.72,8487.76
EDIT,152,0.0058,129396,0.0053,1.1,167.20000000000002
API,148,0.0057,21177,0.0009,6.52,964.95999999999992
BNB,145,0.0056,1766,0.0001,76.57,11102.65
CPU,145,0.0056,97978,0.004,1.38,200.1
ACES,133,0.0051,771,0.0,160.87,21395.71
---,130,0.005,466845,0.0192,0.26,33.800000000000004
USA,127,0.0049,110711,0.0046,1.07,135.89000000000001
FCT,126,0.0048,450,0.0,261.11,32899.86
AND,126,0.0048,180041,0.0074,0.65,81.9
FMT,125,0.0048,334,0.0,349.01,43626.25
XVG,122,0.0047,684,0.0,166.33,20292.260000000002
VPN,114,0.0044,25172,0.001,4.22,481.08
ZRX,114,0.0044,1399,0.0001,75.99,8662.8599999999988
GNT,113,0.0043,1002,0.0,105.17,11884.210000000001
KYC,109,0.0042,1487,0.0001,68.36,7451.24
KMD,108,0.0041,424,0.0,237.53,25653.24
BUY,106,0.0041,6868,0.0003,14.39,1525.3400000000001
LSK,105,0.004,485,0.0,201.89,21198.449999999997
DAO,104,0.004,1623,0.0001,59.76,6215.04
EOS,99,0.0038,2247,0.0001,41.09,4067.9100000000003
ATM,97,0.0037,14638,0.0006,6.18,599.45999999999992
ERC,95,0.0036,2335,0.0001,37.94,3604.2999999999997
ALL,94,0.0036,93946,0.0039,0.93,87.42
