word,s_count,s_ratio,g_count,g_ratio,s_to_g_ratio,weight
ETH,2468,0.1772,61729,0.0026,68.07,167996.75999999998
BTC,2282,0.1639,41554,0.0018,93.5,213367.0
ICO,1393,0.1,20763,0.0009,114.23,159122.39
LTC,722,0.0518,9687,0.0004,126.9,91621.8
ANS,671,0.0482,5847,0.0002,195.39,131106.69
IOTA,649,0.0466,3531,0.0001,312.93,203091.57
USD,547,0.0393,43058,0.0018,21.63,11831.609999999999
XRP,445,0.032,5411,0.0002,140.02,62308.9
NEM,344,0.0247,1251,0.0001,468.17,161050.48
ETC,229,0.0164,5529,0.0002,70.52,16149.08
GNT,224,0.0161,3086,0.0001,123.58,27681.92
FAQ,196,0.0141,201987,0.0085,1.65,323.4
SIA,181,0.013,1569,0.0001,196.41,35550.21
NEO,173,0.0124,2143,0.0001,137.44,23777.12
DGB,172,0.0124,2291,0.0001,127.82,21985.039999999997
XMR,160,0.0115,2010,0.0001,135.53,21684.8
HODL,157,0.0113,3266,0.0001,81.84,12848.880000000001
GPU,149,0.0107,79604,0.0034,3.19,475.31
ICO',145,0.0104,1676,0.0001,147.3,21358.5
DASH,142,0.0102,1256,0.0001,192.49,27333.58
FUD,142,0.0102,4487,0.0002,53.88,7650.96
GRC,141,0.0101,899,0.0,267.03,37651.229999999996
BAT,137,0.0098,3767,0.0002,61.92,8483.04
GDAX,133,0.0096,6930,0.0003,32.68,4346.44
ASIC,130,0.0093,4154,0.0002,53.28,6926.4000000000005
ICN,126,0.009,2181,0.0001,98.36,12393.36
PIVX,125,0.009,389,0.0,547.1,68387.5
IMO,122,0.0088,125948,0.0053,1.65,201.29999999999998
NXT,114,0.0082,9771,0.0004,19.86,2264.04
BOINC,111,0.008,804,0.0,235.06,26091.66
XEM,107,0.0077,440,0.0,414.03,44301.21
API,106,0.0076,20268,0.0009,8.9,943.40000000000009
IRS,101,0.0073,12288,0.0005,13.99,1412.99
DAO,100,0.0072,3361,0.0001,50.66,5066.0
STOP,95,0.0068,97385,0.0041,1.66,157.7
LOL,93,0.0067,115774,0.0049,1.37,127.41000000000001
EOS,92,0.0066,1884,0.0001,83.14,7648.88
NOT,91,0.0065,193665,0.0082,0.8,72.8
SECTI,90,0.0065,89125,0.0038,1.72,154.8
CONTE,90,0.0065,92108,0.0039,1.66,149.4
---,89,0.0064,459153,0.0194,0.33,29.37
FCT,88,0.0063,1278,0.0001,117.23,10316.24
EDIT,88,0.0063,137561,0.0058,1.09,95.92
AUT,87,0.0062,146404,0.0062,1.01,87.87
UTC,87,0.0062,30872,0.0013,4.8,417.59999999999997
CEO,81,0.0058,38358,0.0016,3.6,291.6
ROI,79,0.0057,7612,0.0003,17.67,1395.93
DOGE,78,0.0056,1677,0.0001,79.19,6176.82
ANC,75,0.0054,3150,0.0001,40.54,3040.5
CPU,74,0.0053,130812,0.0055,0.96,71.039999999999992
STRAT,73,0.0052,1103,0.0,112.68,8225.6400000000012
PM',72,0.0052,36720,0.0015,3.34,240.48
USDT,69,0.005,652,0.0,180.18,12432.42
FOMO,69,0.005,2038,0.0001,57.64,3977.16
----,67,0.0048,61281,0.0026,1.86,124.62
POS,67,0.0048,9841,0.0004,11.59,776.53
SEC,64,0.0046,6304,0.0003,17.28,1105.92
THIS,64,0.0046,141153,0.006,0.77,49.28
USB,63,0.0045,52650,0.0022,2.04,128.52
ATM,63,0.0045,14175,0.0006,7.57,476.91
AND,63,0.0045,174016,0.0073,0.62,39.06
BTS,61,0.0044,6475,0.0003,16.04,978.43999999999994
USA,59,0.0042,111953,0.0047,0.9,53.1
VPN,59,0.0042,23375,0.001,4.3,253.7
STEEM,59,0.0042,202,0.0,497.28,29339.519999999997
ARK,57,0.0041,4605,0.0002,21.07,1200.99
THE,55,0.0039,293529,0.0124,0.32,17.6
SONM,54,0.0039,347,0.0,264.95,14307.3
AMD,53,0.0038,60060,0.0025,1.5,79.5
LKK,53,0.0038,368,0.0,245.21,12996.130000000001
NMR,52,0.0037,768,0.0,115.28,5994.56
UASF,51,0.0037,7106,0.0003,12.22,623.22
NVO,50,0.0036,191,0.0,445.7,22285.0
ATH,49,0.0035,2593,0.0001,32.17,1576.3300000000002
EEA,46,0.0033,5200,0.0002,15.06,692.76
YOU,45,0.0032,188677,0.008,0.41,18.45
ARDR,45,0.0032,245,0.0,312.72,14072.400000000001
EUR,44,0.0032,4853,0.0002,15.44,679.36
GTX,44,0.0032,42232,0.0018,1.77,77.88
ANT,43,0.0031,1315,0.0001,55.67,2393.81
XBY,43,0.0031,147,0.0,498.03,21415.289999999997
LINK,42,0.003,17957,0.0008,3.98,167.16
VISA,42,0.003,1537,0.0001,46.52,1953.8400000000001
ALL,42,0.003,92104,0.0039,0.78,32.76
CLICK,41,0.0029,17807,0.0008,3.92,160.72
