word,s_count,s_ratio,g_count,g_ratio,s_to_g_ratio,weight
BTC,22829,0.2292,218641,0.0088,26.12,596293.48
ETH,12397,0.1244,81284,0.0033,38.15,472945.55
IOTA,11738,0.1178,58051,0.0023,50.58,593708.04
XRB,7499,0.0753,19123,0.0008,98.1,735651.89999999991
XRP,7116,0.0714,52083,0.0021,34.18,243224.88
LTC,6879,0.0691,55366,0.0022,31.08,213799.31999999998
NEO,5283,0.053,20290,0.0008,65.13,344081.79
REQ,5184,0.052,14616,0.0006,88.73,459976.32
USD,5124,0.0514,85893,0.0034,14.92,76450.08
BCH,3956,0.0397,76340,0.0031,12.96,51269.76
ICO,3534,0.0355,21493,0.0009,41.13,145353.42
GDAX,2858,0.0287,32536,0.0013,21.97,62790.259999999995
XMR,2652,0.0266,11193,0.0004,59.27,157184.04
ARK,2118,0.0213,9637,0.0004,54.98,116447.64
XLM,2064,0.0207,6956,0.0003,74.23,153210.72
EOS,2057,0.0206,11996,0.0005,42.9,88245.3
FUD,2031,0.0204,16874,0.0007,30.11,61153.409999999996
ICX,1917,0.0192,3969,0.0002,120.82,231611.93999999997
HODL,1896,0.019,29644,0.0012,16.0,30336.0
WTC,1878,0.0189,7781,0.0003,60.38,113393.64
VEN,1696,0.017,3294,0.0001,128.8,218444.80000000002
VTC,1572,0.0158,8952,0.0004,43.93,69057.96
OMG,1538,0.0154,44184,0.0018,8.71,13395.980000000001
FAQ,1415,0.0142,179001,0.0072,1.98,2801.7
FOMO,1336,0.0134,7584,0.0003,44.07,58877.52
NAV,1283,0.0129,4222,0.0002,76.02,97533.659999999989
ADA,1262,0.0127,8268,0.0003,38.18,48183.159999999996
TRX,1221,0.0123,5272,0.0002,57.94,70744.739999999991
XVG,1189,0.0119,5025,0.0002,59.19,70376.91
ATH,1095,0.011,9617,0.0004,28.48,31185.600000000002
SALT,1024,0.0103,6930,0.0003,36.96,37847.04
IRS,1012,0.0102,19067,0.0008,13.28,13439.359999999999
XBY,1000,0.01,1874,0.0001,133.49,133490.0
QASH,988,0.0099,1993,0.0001,124.01,122521.88
IMO,962,0.0097,131568,0.0053,1.83,1760.46
DAG,897,0.009,2769,0.0001,81.04,72692.88
UTC,744,0.0075,38137,0.0015,4.88,3630.72
BNB,741,0.0074,4606,0.0002,40.24,29817.84
PRL,723,0.0073,1578,0.0001,114.62,82870.260000000009
NOT,718,0.0072,217049,0.0087,0.83,595.93999999999994
ENG,684,0.0069,3636,0.0001,47.06,32189.04
LOL,682,0.0068,119325,0.0048,1.43,975.26
CEO,677,0.0068,34409,0.0014,4.92,3330.84
GAS,676,0.0068,4759,0.0002,35.53,24018.280000000002
USDT,671,0.0067,4593,0.0002,36.55,24525.05
BAT,660,0.0066,5706,0.0002,28.94,19100.4
MOD,657,0.0066,3317,0.0001,49.55,32554.35
LINK,645,0.0065,21179,0.0008,7.62,4914.9
COSS,626,0.0063,1437,0.0001,108.98,68221.48
-----,620,0.0062,105644,0.0042,1.47,911.4
DASH,618,0.0062,2971,0.0001,52.04,32160.72
BNTY,591,0.0059,1204,0.0,122.79,72568.89
