word,s_count,s_ratio,g_count,g_ratio,s_to_g_ratio,weight
BTC,129,0.1837,16705,7.0E-4,259.19,33435.51
ETH,73,0.104,5173,2.0E-4,473.65,34576.45
NXT,67,0.0954,12307,5.0E-4,182.73,12242.91
XMR,50,0.0712,1699,1.0E-4,987.77,49388.5
ICO,31,0.0441,936,0.0,1111.65,34461.15
USD,31,0.0441,36451,0.0015,28.55,885.0500000000001
YOU,19,0.0271,189568,0.008,3.36,63.839999999999996
DASH,18,0.0256,550,0.0,1098.47,19772.46
THE,17,0.0242,299107,0.0127,1.91,32.47
TBC,15,0.0214,2323,1.0E-4,216.73,3250.95
CPU,15,0.0214,101223,0.0043,4.97,74.55
GPU,13,0.0185,72113,0.0031,6.05,78.64999999999999
LTC,13,0.0185,1432,1.0E-4,304.71,3961.2299999999996
FAQ,13,0.0185,135843,0.0058,3.21,41.73
SCAM,12,0.0171,687,0.0,586.28,7035.36
BTS,12,0.0171,3805,2.0E-4,105.85,1270.1999999999998
