word,s_count,s_ratio,g_count,g_ratio,s_to_g_ratio,weight
SIGT,42,0.0022,239,0.0,224.75,9439.5
-----,42,0.0022,139661,0.0056,0.38,15.96
BUT,42,0.0022,54756,0.0022,0.98,41.16
URL,41,0.0021,43320,0.0017,1.21,49.61
IOT,41,0.0021,693,0.0,75.67,3102.4700000000003
LOT,41,0.0021,40239,0.0016,1.3,53.300000000000004
MOON,41,0.0021,1413,0.0001,37.11,1521.51
FYI,40,0.0021,31039,0.0012,1.65,66.0
MCO,40,0.0021,816,0.0,62.69,2507.6
ELI,39,0.002,19179,0.0008,2.6,101.4
ADX,39,0.002,456,0.0,109.38,4265.82
SDK,39,0.002,2616,0.0001,19.07,743.73
FDIC,38,0.002,741,0.0,65.59,2492.42
IMHO,38,0.002,15916,0.0006,3.05,115.89999999999999
BTC',38,0.002,906,0.0,53.64,2038.32
BTW,37,0.0019,28897,0.0012,1.64,60.68
EUR,36,0.0018,5094,0.0002,9.04,325.43999999999994
NOW,35,0.0018,33627,0.0014,1.33,46.550000000000004
EVERY,35,0.0018,86809,0.0035,0.52,18.2
GBP,35,0.0018,3511,0.0001,12.75,446.25
QRL,35,0.0018,214,0.0,209.17,7320.95
RIP,34,0.0017,46985,0.0019,0.93,31.62
XVG,34,0.0017,224,0.0,194.13,6600.42
ETF,34,0.0017,7074,0.0003,6.15,209.10000000000002
ANT,34,0.0017,1002,0.0,43.4,1475.6
BTC-,34,0.0017,737,0.0,59.0,2006.0
IPO,33,0.0017,1860,0.0001,22.69,748.7700000000001
WTF,33,0.0017,47631,0.0019,0.89,29.37
OAX,33,0.0017,393,0.0,107.39,3543.87
VERY,33,0.0017,35504,0.0014,1.19,39.269999999999996
OP',33,0.0017,44011,0.0018,0.96,31.68
EEA,32,0.0016,1663,0.0001,24.61,787.52
ALT,32,0.0016,2885,0.0001,14.19,454.08
TPS,32,0.0016,2204,0.0001,18.57,594.24
DENT,32,0.0016,88,0.0,465.07,14882.24
NSA,32,0.0016,8489,0.0003,4.82,154.24
ONLY,31,0.0016,36740,0.0015,1.08,33.480000000000004
REAL,31,0.0016,17175,0.0007,2.31,71.61
THAT,31,0.0016,89326,0.0036,0.44,13.64
ZEC,30,0.0015,457,0.0,83.96,2518.7999999999997
NET,30,0.0015,4334,0.0002,8.85,265.5
SEPA,30,0.0015,517,0.0,74.21,2226.2999999999997
ICONO,30,0.0015,471,0.0,81.46,2443.7999999999997
WILL,29,0.0015,39659,0.0016,0.94,27.259999999999998
MIOTA,29,0.0015,374,0.0,99.17,2875.93
SHA-,29,0.0015,510,0.0,72.72,2108.88
HUGE,29,0.0015,19228,0.0008,1.93,55.97
FUCKI,28,0.0014,56461,0.0023,0.63,17.64
GMT,27,0.0014,7745,0.0003,4.46,120.42
FBI,27,0.0014,38160,0.0015,0.9,24.3
AUD,27,0.0014,3719,0.0001,9.29,250.82999999999998
DEL,26,0.0013,687,0.0,48.4,1258.3999999999999
HAVE,26,0.0013,51677,0.0021,0.64,16.64
ASAP,26,0.0013,23933,0.001,1.39,36.14
SNGLS,26,0.0013,85,0.0,391.21,10171.46
-ICO,26,0.0013,200,0.0,166.26,4322.76
IIRC,26,0.0013,48517,0.0019,0.69,17.939999999999998
ONE,26,0.0013,46103,0.0019,0.72,18.72
LBRY,25,0.0013,279,0.0,114.6,2865.0
GAME,25,0.0013,17613,0.0007,1.82,45.5
CAD,25,0.0013,11831,0.0005,2.7,67.5
REALL,25,0.0013,41294,0.0017,0.77,19.25
ETH',25,0.0013,444,0.0,72.01,1800.2500000000002
NEVER,25,0.0013,35579,0.0014,0.9,22.5
TCP,24,0.0012,2416,0.0001,12.7,304.79999999999995
MPERI,24,0.0012,39,0.0,787.04,18888.96
ANY,24,0.0012,28823,0.0012,1.06,25.44
SALT,24,0.0012,1153,0.0,26.62,638.88
STEEM,24,0.0012,113,0.0,271.63,6519.12
UBQ,23,0.0012,187,0.0,157.3,3617.9
CNBC,23,0.0012,1365,0.0001,21.55,495.65000000000003
LMAO,23,0.0012,21038,0.0008,1.4,32.199999999999996
PTOY,23,0.0012,76,0.0,387.05,8902.15
CNY,22,0.0011,633,0.0,44.45,977.90000000000009
BLOCK,22,0.0011,1779,0.0001,15.82,348.04
DPOS,22,0.0011,127,0.0,221.55,4874.1
XLM,22,0.0011,147,0.0,191.41,4211.0199999999995
CMC,22,0.0011,3198,0.0001,8.8,193.60000000000002
IOU,22,0.0011,1151,0.0,24.45,537.9
ACES,22,0.0011,241,0.0,116.75,2568.5
COIN,21,0.0011,539,0.0,49.83,1046.43
-SNAR,21,0.0011,87,0.0,308.71,6482.91
AFAIK,21,0.0011,16129,0.0006,1.67,35.07
ISP,21,0.0011,22842,0.0009,1.18,24.779999999999998
VPS,21,0.0011,2043,0.0001,13.15,276.15000000000003
DEX,21,0.0011,3345,0.0001,8.03,168.63
FOR,21,0.0011,68127,0.0027,0.39,8.19
JUST,20,0.001,39564,0.0016,0.65,13.0
MONER,20,0.001,58,0.0,441.01,8820.2
ASCH,20,0.001,37,0.0,691.32,13826.400000000001
IPFS,20,0.001,483,0.0,52.96,1059.2
GRC,20,0.001,529,0.0,48.35,967.0
TBH,20,0.001,22730,0.0009,1.13,22.599999999999998
XSPEC,20,0.001,33,0.0,775.12,15502.4
AMD,19,0.001,64795,0.0026,0.38,7.22
CAN,19,0.001,35076,0.0014,0.69,13.11
SELL,19,0.001,2484,0.0001,9.78,185.82
XYZ,18,0.0009,4798,0.0002,4.8,86.399999999999991
LBC,18,0.0009,623,0.0,36.95,665.1
ARE,18,0.0009,59763,0.0024,0.39,7.0200000000000005
CPA,18,0.0009,4002,0.0002,5.75,103.5
SMS,18,0.0009,5852,0.0002,3.93,70.740000000000009
WITH,18,0.0009,36940,0.0015,0.62,11.16
WHY,18,0.0009,29606,0.0012,0.78,14.040000000000001
TNT,18,0.0009,2741,0.0001,8.4,151.20000000000002
YES,17,0.0009,40753,0.0016,0.53,9.01
IBM,17,0.0009,4558,0.0002,4.77,81.089999999999989
BIG,17,0.0009,14503,0.0006,1.5,25.5
TLDR,17,0.0009,19398,0.0008,1.12,19.040000000000003
MASSI,17,0.0009,4306,0.0002,5.05,85.85
KMD,17,0.0009,167,0.0,130.19,2213.23
ZERO,17,0.0009,8426,0.0003,2.58,43.86
COO,17,0.0009,751,0.0,28.95,492.15
MIT,17,0.0009,5700,0.0002,3.81,64.77
SCAM,17,0.0009,184982,0.0074,0.12,2.04
BLX,17,0.0009,487,0.0,44.64,758.88
DTV,16,0.0008,611,0.0,33.49,535.84
XAS,16,0.0008,58,0.0,352.81,5644.96
SNC,16,0.0008,194,0.0,105.48,1687.68
ACH,16,0.0008,1395,0.0001,14.67,234.72
MVP,16,0.0008,32019,0.0013,0.64,10.24
CTO,16,0.0008,1211,0.0,16.9,270.4
SYS,16,0.0008,212,0.0,96.52,1544.32
EVM,15,0.0008,495,0.0,38.76,581.4
WAY,15,0.0008,25943,0.001,0.74,11.1
ABC,15,0.0008,11833,0.0005,1.62,24.3
'VE,15,0.0008,4554,0.0002,4.21,63.15
HAS,15,0.0008,16404,0.0007,1.17,17.549999999999997
RDD,15,0.0008,551,0.0,34.82,522.3
DNM,15,0.0008,2472,0.0001,7.76,116.39999999999999
DYOR,15,0.0008,54,0.0,355.26,5328.9
MGO,15,0.0008,395,0.0,48.57,728.55
MONEY,15,0.0008,5889,0.0002,3.26,48.9
DAPP,14,0.0007,113,0.0,158.45,2218.2999999999997
DELTA,14,0.0007,209,0.0,85.67,1199.38
BITCO,14,0.0007,692,0.0,25.87,362.18
ETHER,14,0.0007,257,0.0,69.67,975.38
JLRDA,14,0.0007,120,0.0,149.21,2088.94
LGD,14,0.0007,4693,0.0002,3.82,53.48
STILL,14,0.0007,19630,0.0008,0.91,12.74
REP,14,0.0007,8584,0.0003,2.09,29.259999999999998
RADS,14,0.0007,53,0.0,337.83,4729.62
NEON,14,0.0007,1173,0.0,15.26,213.64
MAID,14,0.0007,207,0.0,86.5,1211.0
OTC,14,0.0007,3317,0.0001,5.4,75.600000000000009
PRC,14,0.0007,2158,0.0001,8.3,116.20000000000002
DICE,14,0.0007,4898,0.0002,3.66,51.24
NOTHI,13,0.0007,14049,0.0006,1.18,15.34
BCN,13,0.0007,449,0.0,37.03,481.39
MYST,13,0.0007,111,0.0,149.79,1947.27
GTX,13,0.0007,40654,0.0016,0.41,5.33
ALWAY,13,0.0007,20788,0.0008,0.8,10.4
GDP,13,0.0007,15896,0.0006,1.05,13.65
HDD,13,0.0007,19154,0.0008,0.87,11.31
MORE,13,0.0007,26391,0.0011,0.63,8.19
KO',13,0.0007,2708,0.0001,6.14,79.82
XEL,13,0.0007,97,0.0,171.4,2228.2000000000003
AML,13,0.0007,754,0.0,22.05,286.65000000000003
UBIQ,13,0.0007,121,0.0,137.41,1786.33
NDA,12,0.0006,5004,0.0002,3.07,36.839999999999996
TIME,12,0.0006,22010,0.0009,0.7,8.3999999999999986
LTCG,12,0.0006,238,0.0,64.48,773.76
BOINC,12,0.0006,275,0.0,55.81,669.72
SWIFT,12,0.0006,735,0.0,20.88,250.56
TIL,12,0.0006,51867,0.0021,0.3,3.5999999999999996
LLC,12,0.0006,4809,0.0002,3.19,38.28
AWS,12,0.0006,5390,0.0002,2.85,34.2
PEOPL,12,0.0006,15187,0.0006,1.01,12.120000000000001
GACHA,12,0.0006,335,0.0,45.81,549.72
ARDOR,12,0.0006,41,0.0,374.32,4491.84
ASIC-,12,0.0006,87,0.0,176.41,2116.92
