word,s_count,s_ratio,g_count,g_ratio,s_to_g_ratio,weight
BTC,6611,0.2303,71059,0.0029,80.05,529210.54999999993
IOTA,4177,0.1455,26587,0.0011,135.18,564646.86
ICO,2458,0.0856,21157,0.0009,99.96,245701.68
ETH,2328,0.0811,25792,0.001,77.66,180792.47999999998
VTC,2323,0.0809,7118,0.0003,280.81,652321.63
NEO,2173,0.0757,12433,0.0005,150.38,326775.74
LTC,1249,0.0435,8368,0.0003,128.43,160409.07
WTC,1149,0.04,6330,0.0003,156.18,179450.82
FUCK,1097,0.0382,103929,0.0042,9.08,9960.76
XRP,970,0.0338,8805,0.0004,94.79,91946.3
FUD,964,0.0336,7132,0.0003,116.3,112113.2
OMG,942,0.0328,44923,0.0018,18.04,16993.68
ASIC,942,0.0328,3899,0.0002,207.88,195822.96
USD,905,0.0315,42724,0.0017,18.23,16498.15
BTG,775,0.027,3896,0.0002,171.16,132649.0
ARK,774,0.027,4835,0.0002,137.74,106610.76000000001
LINK,648,0.0226,18143,0.0007,30.73,19913.04
GRS,644,0.0224,1660,0.0001,333.81,214973.64
XMR,608,0.0212,3002,0.0001,174.26,105950.07999999999
BCH,514,0.0179,17586,0.0007,25.15,12927.099999999999
FUCKS,490,0.0171,3168,0.0001,133.08,65209.200000000004
BAT,482,0.0168,4068,0.0002,101.95,49139.9
FAQ,474,0.0165,177222,0.0072,2.3,1090.1999999999998
QTUM,388,0.0135,1689,0.0001,197.66,76692.08
GPU,364,0.0127,59969,0.0024,5.22,1900.08
VEN,324,0.0113,694,0.0,401.7,130150.8
IMO,301,0.0105,129324,0.0052,2.0,602.0
NAV,293,0.0102,2200,0.0001,114.59,33574.87
ATH,286,0.01,3694,0.0001,66.62,19053.32
FOMO,282,0.0098,2670,0.0001,90.88,25628.16
PIVX,271,0.0094,959,0.0,243.15,65893.650000000009
LOL,268,0.0093,120709,0.0049,1.91,511.88
BCC,260,0.0091,5455,0.0002,41.01,10662.6
COSS,259,0.009,1150,0.0,193.78,50189.02
-----,259,0.009,133032,0.0054,1.68,435.12
HODL,258,0.009,3163,0.0001,70.18,18106.440000000002
GAS,225,0.0078,3491,0.0001,55.46,12478.5
GDAX,218,0.0076,3651,0.0001,51.38,11200.84
DNT,215,0.0075,1204,0.0,153.65,33034.75
ODN,212,0.0074,626,0.0,291.39,61774.68
CEO,211,0.0074,28354,0.0011,6.4,1350.4
ICO',208,0.0072,1467,0.0001,122.0,25376.0
NOT,194,0.0068,200414,0.0081,0.83,161.01999999999998
RFID,194,0.0068,1828,0.0001,91.31,17714.14
UTC,190,0.0066,40250,0.0016,4.06,771.4
POS,178,0.0062,10437,0.0004,14.67,2611.2599999999998
NEM,176,0.0061,849,0.0,178.37,31393.120000000003
API,175,0.0061,22163,0.0009,6.79,1188.25
ETP,170,0.0059,1040,0.0,140.65,23910.5
IBM,164,0.0057,5685,0.0002,24.82,4070.48
CMC,162,0.0056,5290,0.0002,26.35,4268.7
ROI,161,0.0056,6964,0.0003,19.89,3202.29
ERC,143,0.005,2507,0.0001,49.08,7018.44
THIS,142,0.0049,144639,0.0059,0.84,119.28
CPU,140,0.0049,88040,0.0036,1.37,191.8
THE,140,0.0049,332701,0.0135,0.36,50.4
DASH,140,0.0049,1169,0.0,103.05,14427.0
PART,139,0.0048,5597,0.0002,21.37,2970.4300000000003
IRS,138,0.0048,13149,0.0005,9.03,1246.1399999999999
AND,137,0.0048,184485,0.0075,0.64,87.68
SWIFT,135,0.0047,1094,0.0,106.18,14334.300000000001
AMA,134,0.0047,40393,0.0016,2.85,381.90000000000003
XLM,134,0.0047,973,0.0,118.5,15879.0
DAG,134,0.0047,599,0.0,192.48,25792.32
ISP,133,0.0046,21301,0.0009,5.37,714.21
EDIT,132,0.0046,130506,0.0053,0.87,114.84
POW,126,0.0044,4614,0.0002,23.5,2961.0
CSS,126,0.0044,8433,0.0003,12.86,1620.36
SALT,125,0.0044,2322,0.0001,46.32,5790.0
AMD,118,0.0041,37667,0.0015,2.7,318.6
BNB,116,0.004,1772,0.0001,56.33,6534.28
AEON,113,0.0039,617,0.0,157.58,17806.54
---,112,0.0039,480217,0.0194,0.2,22.400000000000002
USA,111,0.0039,113470,0.0046,0.84,93.24
LISK,107,0.0037,447,0.0,205.96,22037.72
SEC,106,0.0037,18904,0.0008,4.82,510.92
EOS,104,0.0036,2392,0.0001,37.41,3890.6399999999994
USDT,103,0.0036,671,0.0,132.08,13604.240000000002
DAO,102,0.0036,1830,0.0001,47.96,4891.92
DYOR,100,0.0035,201,0.0,428.08,42808.0
VPN,100,0.0035,27093,0.0011,3.18,318.0
IOTA',98,0.0034,283,0.0,297.96,29200.079999999998
ATM,91,0.0032,13272,0.0005,5.9,536.9
MEW,90,0.0031,1797,0.0001,43.09,3878.1000000000004
COO,89,0.0031,816,0.0,93.85,8352.65
SIBOS,88,0.0031,551,0.0,137.42,12092.96
XVG,85,0.003,500,0.0,146.27,12432.95
FCT,85,0.003,330,0.0,221.63,18838.55
TOR,83,0.0029,3033,0.0001,23.55,1954.65
CLICK,83,0.0029,20406,0.0008,3.5,290.5
ALL,82,0.0029,98643,0.004,0.72,59.04
INSID,80,0.0028,7204,0.0003,9.56,764.80000000000007
SQUAR,79,0.0028,5379,0.0002,12.64,998.56000000000006
BRACK,79,0.0028,5996,0.0002,11.34,895.86
MOD,78,0.0027,2893,0.0001,23.2,1809.6
----,77,0.0027,63554,0.0026,1.04,80.08
KCS,77,0.0027,443,0.0,149.56,11516.12
KYC,75,0.0026,1367,0.0001,47.21,3540.75
ELI,75,0.0026,16457,0.0007,3.92,294.0
SDK,74,0.0026,2416,0.0001,26.35,1949.9
ASIC-,74,0.0026,212,0.0,300.34,22225.16
YOU,74,0.0026,205413,0.0083,0.31,22.94
FIAT,74,0.0026,785,0.0,81.11,6002.14
LSK,72,0.0025,474,0.0,130.7,9410.4
TRX,72,0.0025,680,0.0,91.1,6559.2
URL,72,0.0025,34582,0.0014,1.79,128.88
BTC',70,0.0024,627,0.0,96.06,6724.2
RPX,68,0.0024,1899,0.0001,30.81,2095.08
MTL,68,0.0024,2882,0.0001,20.3,1380.4
MIOTA,66,0.0023,322,0.0,176.36,11639.76
ADA,64,0.0022,3067,0.0001,17.95,1148.8
TRON,63,0.0022,390,0.0,138.99,8756.37
